income,university,dropout
6570.24,pisa,0
17885.37,pisa,0
17885.37,pisa,0
14831.24,pisa,0
1728.92,pisa,0
4866.88,pisa,0
15791,pisa,1
7524.02,pisa,0
12020.76,pisa,0
6447.15,pisa,0
6560.9,pisa,0
6098.37,pisa,0
9552.03,pisa,0
13030,pisa,0
8456.42,pisa,0
4806.61,pisa,0
12413.12,pisa,0
2783.75,pisa,0
15028.67,pisa,0
11861.61,pisa,0
2429.67,pisa,0
10182.52,pisa,0
12086.63,pisa,0
3134.04,pisa,0
4590.53,pisa,1
11506.91,pisa,1
8596.07,pisa,0
13057.72,pisa,1
1904.47,pisa,0
4372.98,pisa,0
4645.1,pisa,0
11583.33,pisa,1
17656.77,pisa,0
19827.3,pisa,0
14703.79,pisa,0
8202.03,pisa,0
8944.59,pisa,0
17674.39,pisa,0
11472.98,pisa,1
3306.67,pisa,0
13184.39,pisa,0
797.45,pisa,0
3270.81,pisa,1
9176.32,pisa,0
11364.97,pisa,0
7163.41,pisa,0
934.82,pisa,1
11759.35,pisa,0
8343.99,pisa,0
10308.71,pisa,0
2346.6,pisa,0
7871.97,pisa,0
15405.74,pisa,1
8014.63,pisa,0
9058.27,pisa,0
8302.11,pisa,1
6933.14,pisa,0
14867.57,pisa,1
970,pisa,0
6983.44,pisa,0
14593.38,pisa,0
10572.46,pisa,0
5658.04,pisa,0
8978.46,pisa,0
9474.22,pisa,1
16972.06,pisa,0
609.76,pisa,1
15934.29,pisa,0
4325.26,pisa,1
11630.53,pisa,0
11903.36,pisa,0
9804.88,pisa,0
3464.31,pisa,1
10032.52,pisa,0
6923.04,pisa,0
8726.12,pisa,0
2101.87,pisa,0
13.73,pisa,0
10732.85,pisa,1
14949.8,pisa,0
2977.04,pisa,0
8550.41,pisa,1
7041.02,pisa,0
11389.43,pisa,0
14306.54,pisa,0
11647.15,pisa,0
12749,pisa,0
5928.92,pisa,0
16220.77,pisa,0
7983.61,pisa,0
7639.43,pisa,0
10895.23,pisa,1
10972.35,pisa,0
6452.44,pisa,1
16786.27,pisa,0
11645.69,pisa,0
15317.16,pisa,1
9018.09,pisa,0
915.2,pisa,0
18176.06,pisa,1
7306.1,pisa,0
15714.01,pisa,0
17188.86,pisa,0
10382.93,pisa,0
16917.45,pisa,0
14290.69,pisa,0
7464.92,pisa,0
4956.69,pisa,0
9601.98,pisa,0
11462.84,pisa,0
1779.34,pisa,0
14212.98,pisa,0
11315.92,pisa,0
6522.98,pisa,0
8825.61,pisa,0
9417.26,pisa,0
12757.72,pisa,0
7780.52,pisa,0
16528.72,pisa,1
8562.71,pisa,0
15312.19,pisa,0
15601.91,pisa,0
5978.66,pisa,0
5847.15,pisa,0
2883.82,pisa,1
194.24,pisa,0
16110.57,pisa,1
13858.97,pisa,0
18097.7,pisa,1
8868.56,pisa,0
10615.44,pisa,0
7377.64,pisa,0
9417.26,pisa,0
13397.41,pisa,0
13532.08,pisa,0
8910.97,pisa,0
15693.9,pisa,0
7866.32,pisa,0
10755.63,pisa,0
14956.45,pisa,0
8466.24,pisa,1
4773.25,pisa,0
4631.71,pisa,1
3104.41,pisa,1
7624.02,pisa,0
5540,pisa,0
10369.11,pisa,1
10421.02,pisa,0
14402.31,pisa,0
14740.23,pisa,0
14590.98,pisa,0
13224.31,pisa,0
1742.52,pisa,1
10112.2,pisa,0
14004.16,pisa,0
8010.57,pisa,0
7706.5,pisa,0
11448.78,pisa,0
11852.65,pisa,1
5450.65,pisa,0
245.2,pisa,1
5185.17,pisa,1
18735.94,pisa,0
6478.73,pisa,1
14854.92,pisa,0
14004.16,pisa,0
14155.04,pisa,0
7998.74,pisa,0
7560.16,pisa,1
8332.98,pisa,0
8190.2,pisa,0
14155.88,pisa,0
15087.22,pisa,0
18137.46,pisa,0
18669.61,pisa,0
8641.98,pisa,0
9739.23,pisa,0
13697.66,pisa,0
5976.99,pisa,0
13505.98,pisa,0
11285.14,pisa,0
5843.33,pisa,0
8303.82,pisa,0
9957,pisa,0
14109.03,pisa,0
12628.85,pisa,0
47.37,pisa,0
11719.27,pisa,0
15388.21,pisa,0
8324.8,pisa,0
10381.86,pisa,0
15673.58,pisa,0
11903.01,pisa,0
6563.58,pisa,0
6741.46,pisa,1
70.24,pisa,0
10771.04,pisa,0
4800.6,pisa,0
6619.02,pisa,0
15627.65,pisa,0
18544.44,pisa,0
16279.39,pisa,0
3156.05,pisa,0
6434.96,pisa,0
15886.04,pisa,1
133.76,pisa,0
9238.94,pisa,1
3767.48,pisa,0
4238.21,pisa,0
14504.93,pisa,0
6887.39,pisa,0
4395.22,pisa,1
9122.06,pisa,0
1313.02,pisa,0
17654.44,pisa,0
4713.93,pisa,1
14725.29,pisa,0
14528.8,pisa,0
11622.79,pisa,0
16194.11,pisa,0
12547.97,pisa,0
9086.07,pisa,0
13577.24,pisa,0
7377.64,pisa,0
17745.68,pisa,0
5718.95,pisa,0
361.57,pisa,0
13708.83,pisa,0
12918.34,pisa,0
12934.15,pisa,0
7919.12,pisa,0
11438.35,pisa,0
11570.68,pisa,0
1948.78,pisa,0
11764.71,pisa,0
12606.91,pisa,0
9754.62,pisa,1
5386.44,pisa,0
10930.14,pisa,1
15976.83,pisa,0
11249.7,pisa,0
14065.98,pisa,0
10554.9,pisa,0
10957.52,pisa,0
12572.14,pisa,0
12427.41,pisa,0
360.57,pisa,0
9716.14,pisa,0
9337.29,pisa,0
17729.9,pisa,0
13426.47,pisa,0
9890.23,pisa,1
8420.17,pisa,0
8441.73,pisa,0
16234.8,pisa,1
4760.39,pisa,0
11321.22,pisa,0
12408.82,pisa,0
11602.66,pisa,0
10748.35,pisa,0
5741.8,pisa,0
4245.94,pisa,0
11989.81,pisa,0
8532.48,pisa,0
5060.67,pisa,0
13548.06,pisa,0
3682.17,pisa,0
5954.39,pisa,0
15132.22,pisa,1
16236.1,pisa,1
3684.71,pisa,1
10293.5,pisa,0
9536.34,pisa,0
5087,pisa,0
14902.65,pisa,0
11881.81,pisa,0
19512.14,pisa,1
9111.18,pisa,1
12220.27,pisa,1
9114.8,pisa,1
2562.75,pisa,0
13270.61,pisa,0
10475.68,pisa,1
3371.29,pisa,1
16751.4,pisa,0
4752.87,pisa,1
6975.8,pisa,0
8738.91,pisa,0
257.35,pisa,0
11638.95,pisa,0
14346.91,pisa,0
9253.92,pisa,1
535.8,pisa,0
17455.93,pisa,0
11462.3,pisa,1
9293.5,pisa,0
1921.76,pisa,0
9382.23,pisa,0
16151.59,pisa,0
12643.59,pisa,1
8541.19,pisa,0
7854.47,pisa,1
12161.89,pisa,0
15832.93,pisa,0
9306.63,pisa,0
18123.98,pisa,1
11086.61,pisa,0
11850.25,pisa,1
16236.1,pisa,1
3490.7,pisa,0
9491.88,pisa,0
10559.07,pisa,1
9543.6,pisa,1
13664.46,pisa,0
7628.77,pisa,0
11425.2,pisa,0
1273.25,pisa,1
7658.13,pisa,0
11466.18,pisa,0
4798.37,pisa,1
16062.28,pisa,1
14049.61,pisa,0
1713.92,pisa,0
17278.09,pisa,0
14900.16,pisa,0
12536.34,pisa,0
8461.59,pisa,1
10091.15,pisa,0
13297.13,pisa,0
7412.35,pisa,0
10514,pisa,1
4558.54,pisa,0
13176.76,pisa,0
13559.25,pisa,0
11310.59,pisa,0
4367.65,pisa,0
5873.89,pisa,1
10017.26,pisa,0
19361.46,pisa,0
5763.46,pisa,0
8845.93,pisa,0
2573.53,pisa,1
19119.61,pisa,1
7885.29,pisa,1
5751.79,pisa,0
7024.09,pisa,1
12582.6,pisa,0
15477.35,pisa,0
2260.78,pisa,0
11006.64,pisa,0
9107.18,pisa,0
16560.08,pisa,0
3877.24,pisa,0
3633.33,pisa,0
3788.59,pisa,0
16807.67,pisa,1
4827.64,pisa,0
8294.61,pisa,0
8725.28,pisa,0
15449.32,pisa,0
12233.68,pisa,0
8137.25,pisa,0
7574.57,pisa,0
7507.06,pisa,0
9256.3,pisa,0
12618.14,pisa,0
7391.26,pisa,0
7326.47,pisa,0
8314.65,pisa,0
13464.33,pisa,1
11675.2,pisa,0
12392.75,pisa,0
12353.56,pisa,0
12353.56,pisa,0
14930.62,pisa,0
8595,pisa,0
15625.61,pisa,0
12115.99,pisa,0
905.47,pisa,0
12328.46,pisa,0
9041.52,pisa,0
13383.71,pisa,0
16437.24,pisa,0
2188.86,pisa,0
1229.67,pisa,1
15913.23,pisa,1
4013.8,pisa,0
13412.99,pisa,0
1305.39,pisa,1
14703.7,pisa,0
13626.94,pisa,0
10685.75,pisa,0
9012.6,pisa,0
9400.16,pisa,0
12618.47,pisa,0
11594.63,pisa,0
16242.54,pisa,0
14704.41,pisa,0
17283.42,pisa,0
2974.52,pisa,0
5639.22,pisa,1
13367.48,pisa,1
8691.14,pisa,1
14091.72,pisa,0
1393.27,pisa,0
8379.43,pisa,0
3596.76,pisa,0
15102.46,pisa,0
16417.84,pisa,0
